glyph_type,model,unsigned_euclidean_sum,signed_euclidean_sum,n_points,avg_unsigned,avg_signed,param_1,param_2,param_3
beer,linear,8.071,1.045,216,0.03736,0.00484,,,
beer,gamma,8.146,1.320,216,0.03771,0.00611,1.042846,,
beer,poly3c,7.959,1.626,216,0.03685,0.00753,0.940645,-0.079222,
beer,pchip,7.943,1.590,216,0.03677,0.00736,0.314371,0.632656,3
candle,linear,12.037,3.440,140,0.08598,0.02457,,,
candle,gamma,12.638,5.293,140,0.09027,0.03781,1.435271,,
candle,poly3c,14.763,3.868,140,0.10545,0.02763,0.069207,3.000000,
candle,pchip,13.301,4.851,140,0.09500,0.03465,0.228847,0.647897,3
circle,linear,1.719,0.470,68,0.02527,0.00691,,,
circle,gamma,1.699,0.374,68,0.02498,0.00551,0.958994,,
circle,poly3c,1.675,0.110,68,0.02464,0.00162,1.029693,0.412175,
circle,pchip,1.661,0.128,68,0.02442,0.00188,0.376835,0.728506,3
circular_progressbar,linear,7.391,1.184,220,0.03360,0.00538,,,
circular_progressbar,gamma,7.348,0.494,220,0.03340,0.00224,0.891852,,
circular_progressbar,poly3c,7.463,0.320,220,0.03392,0.00146,1.273212,-0.438536,
circular_progressbar,pchip,7.458,0.348,220,0.03390,0.00158,0.382721,0.699300,3
flower,linear,13.005,-5.119,224,0.05806,-0.02285,,,
flower,gamma,13.033,-3.276,224,0.05818,-0.01463,1.437262,,
flower,poly3c,12.838,-3.063,224,0.05731,-0.01367,0.365745,0.772832,
flower,pchip,12.536,-2.846,224,0.05596,-0.01271,0.209142,0.530231,3
line,linear,2.008,0.080,69,0.02910,0.00116,,,
line,gamma,2.029,0.210,69,0.02940,0.00304,1.062557,,
line,poly3c,2.008,-0.232,69,0.02910,-0.00336,0.853931,1.010908,
line,pchip,1.913,-0.317,69,0.02773,-0.00460,0.376598,0.781539,3
polygon,linear,2.893,0.435,77,0.03757,0.00565,,,
polygon,gamma,2.932,0.899,77,0.03808,0.01168,1.161189,,
polygon,poly3c,3.139,0.665,77,0.04077,0.00864,0.423553,1.560404,
polygon,pchip,2.966,0.759,77,0.03852,0.00986,0.264814,0.662215,3
ripple_wave,linear,6.767,0.760,143,0.04732,0.00531,,,
ripple_wave,gamma,6.816,0.931,143,0.04766,0.00651,1.035720,,
ripple_wave,poly3c,7.361,0.273,143,0.05148,0.00191,0.536847,1.632303,
ripple_wave,pchip,6.979,0.029,143,0.04881,0.00020,0.351161,0.736456,3
square,linear,1.249,0.340,60,0.02081,0.00566,,,
square,gamma,1.204,0.154,60,0.02007,0.00256,0.900024,,
square,poly3c,1.228,0.112,60,0.02047,0.00187,1.195222,-0.232071,
square,pchip,1.224,0.111,60,0.02040,0.00185,0.374232,0.703369,3
star,linear,1.978,-0.460,75,0.02637,-0.00613,,,
star,gamma,1.958,0.371,75,0.02610,0.00495,1.317126,,
star,poly3c,1.930,-0.135,75,0.02573,-0.00180,0.280940,2.005214,
star,pchip,1.866,0.004,75,0.02488,0.00006,0.240125,0.689864,3
sun,linear,13.022,1.686,221,0.05892,0.00763,,,
sun,gamma,11.503,0.156,221,0.05205,0.00071,0.692759,,
sun,poly3c,8.793,1.978,221,0.03979,0.00895,1.500000,-2.301489,
sun,pchip,8.788,1.955,221,0.03976,0.00885,0.362694,0.547060,3
sun_cc,linear,1.474,0.455,72,0.02047,0.00632,,,
sun_cc,gamma,1.339,-0.005,72,0.01860,-0.00008,0.802966,,
sun_cc,poly3c,1.292,-0.003,72,0.01794,-0.00004,1.500000,-0.959132,
sun_cc,pchip,1.241,-0.120,72,0.01724,-0.00167,0.430994,0.720643,3
tree_growth,linear,13.175,-8.039,253,0.05208,-0.03177,,,
tree_growth,gamma,13.186,-5.319,253,0.05212,-0.02102,1.602054,,
tree_growth,poly3c,12.479,-4.302,253,0.04932,-0.01700,0.346987,0.357608,
tree_growth,pchip,12.191,-3.218,253,0.04819,-0.01272,0.161168,0.433180,3
tree_growth_gamma,linear,3.208,-0.550,94,0.03413,-0.00585,,,
tree_growth_gamma,gamma,3.282,-0.194,94,0.03491,-0.00206,1.165616,,
tree_growth_gamma,poly3c,3.401,-0.848,94,0.03619,-0.00902,0.564048,1.244598,
tree_growth_gamma,pchip,3.315,-0.635,94,0.03527,-0.00676,0.272205,0.664644,3
