glyph_type,model,unsigned_euclidean_sum,signed_euclidean_sum,n_points_all,avg_unsigned,avg_signed
beer,linear,1.768,0.340,79,0.02238,0.00430
beer,gamma,1.742,0.026,79,0.02205,0.00034
beer,poly3c,1.739,0.204,79,0.02201,0.00258
beer,piecewise,2.093,-0.059,79,0.02649,-0.00075
circle,linear,1.719,0.470,68,0.02527,0.00691
circle,gamma,1.692,0.314,68,0.02489,0.00462
circle,poly3c,1.655,0.103,68,0.02434,0.00151
circle,piecewise,1.769,-0.026,68,0.02602,-0.00039
circular_progressbar,linear,1.734,0.755,80,0.02167,0.00943
circular_progressbar,gamma,1.634,-0.019,80,0.02042,-0.00024
circular_progressbar,poly3c,1.652,0.471,80,0.02065,0.00589
circular_progressbar,piecewise,1.903,-0.222,80,0.02378,-0.00277
flower,linear,2.113,-1.124,80,0.02642,-0.01405
flower,gamma,1.915,-0.124,80,0.02394,-0.00154
flower,poly3c,1.853,-0.025,80,0.02317,-0.00032
flower,piecewise,1.946,-0.073,80,0.02433,-0.00092
line,linear,2.008,0.080,69,0.02910,0.00116
line,gamma,2.013,0.111,69,0.02917,0.00160
line,poly3c,2.003,-0.213,69,0.02903,-0.00309
line,piecewise,1.994,-0.638,69,0.02890,-0.00924
polygon,linear,2.893,0.435,77,0.03757,0.00565
polygon,gamma,2.936,0.946,77,0.03814,0.01228
polygon,poly3c,3.139,0.561,77,0.04076,0.00729
polygon,piecewise,3.328,0.532,77,0.04322,0.00691
square,linear,1.249,0.340,60,0.02081,0.00566
square,gamma,1.217,0.203,60,0.02028,0.00339
square,poly3c,1.246,0.179,60,0.02076,0.00298
square,piecewise,1.466,0.158,60,0.02444,0.00263
star,linear,1.978,-0.460,75,0.02637,-0.00613
star,gamma,1.972,0.467,75,0.02629,0.00623
star,poly3c,1.951,0.025,75,0.02602,0.00033
star,piecewise,2.080,-0.146,75,0.02774,-0.00195
sun,linear,2.709,-0.170,78,0.03473,-0.00218
sun,gamma,2.338,-0.687,78,0.02998,-0.00880
sun,poly3c,1.567,0.058,78,0.02009,0.00074
sun,piecewise,1.943,-0.558,78,0.02492,-0.00715
tree_growth,linear,3.138,-2.039,80,0.03923,-0.02549
tree_growth,gamma,3.004,-0.534,80,0.03755,-0.00667
tree_growth,poly3c,2.772,0.089,80,0.03465,0.00111
tree_growth,piecewise,3.833,-0.530,80,0.04792,-0.00662
