index,glyph_type,sizeA,sizeB,sizeC
1,beer,89,57,35
2,beer,63,43,28
3,lightbulb,88,81,81
4,circular_progressbar,82,47,22
5,beer,31,45,68
6,flower,49,69,91
7,tree_growth,13,20,35
8,sun,50,76,90
9,tree_growth,74,64,31
10,tree_growth,97,87,81
11,sun,4,18,28
12,flower,26,20,10
13,tree_growth,84,79,72
14,tree_growth,56,42,36
15,circular_progressbar,71,62,59
16,flower,98,89,79
17,circular_progressbar,48,22,1
18,circular_progressbar,13,19,25
19,tree_growth,39,67,90
20,flower,99,82,69
21,tree_growth,46,21,4
22,circular_progressbar,92,69,41
23,flower,99,46,12
24,sun,91,78,37
25,tree_growth,43,49,56
26,sun,87,77,43
27,beer,28,18,9
28,circular_progressbar,40,35,33
29,lightbulb,47,61,71
30,circular_progressbar,34,39,48
31,lightbulb,47,41,22
32,circular_progressbar,3,29,53
33,tree_growth,1,66,90
34,lightbulb,29,25,45
35,beer,36,46,58
36,tree_growth,15,66,74
37,circular_progressbar,39,71,95
38,lightbulb,98,96,88
39,sun,7,37,89
40,beer,29,55,86
41,circular_progressbar,12,57,100
42,beer,81,66,60
43,lightbulb,14,20,25
44,beer,12,30,70
45,circular_progressbar,21,32,47
46,lightbulb,84,57,13
47,lightbulb,16,39,69
48,flower,59,61,63
49,tree_growth,64,63,62
50,sun,10,28,61
51,sun,50,53,56
52,sun,75,80,85
53,tree_growth,7,26,43
54,beer,71,67,68
55,circular_progressbar,66,38,16
56,flower,50,32,15
57,sun,60,24,11
58,beer,93,71,58
59,flower,21,12,2
60,flower,6,12,16
61,circular_progressbar,99,67,43
62,sun,73,63,49
63,circular_progressbar,25,22,19
64,beer,5,26,44
65,flower,87,45,17
66,sun,10,23,30
67,flower,98,83,66
68,sun,76,47,25
69,sun,65,57,43
70,lightbulb,29,30,50
71,lightbulb,86,75,49
72,tree_growth,86,75,24
73,lightbulb,32,27,25
74,beer,47,33,22
75,beer,10,22,37
76,tree_growth,85,79,61
77,flower,73,56,47
78,lightbulb,45,77,99
79,flower,97,55,18
80,sun,74,70,63
81,lightbulb,58,27,29
82,flower,19,31,48
83,beer,50,46,46
84,sun,92,90,89
85,circular_progressbar,17,35,54
86,flower,93,50,14
87,lightbulb,56,28,16
88,beer,26,30,37
89,lightbulb,60,49,41
90,tree_growth,36,78,91
