glyph_type,model,unsigned_euclidean_sum,signed_euclidean_sum
beer,linear,1.738,0.338
beer,gamma,1.708,0.031
beer,poly3c,1.704,0.205
circle,linear,1.692,0.463
circle,gamma,1.661,0.311
circle,poly3c,1.625,0.101
circular_progressbar,linear,1.707,0.750
circular_progressbar,gamma,1.599,-0.013
circular_progressbar,poly3c,1.575,-0.078
flower,linear,2.081,-1.110
flower,gamma,1.882,-0.123
flower,poly3c,1.820,-0.027
line,linear,1.975,0.083
line,gamma,1.979,0.113
line,poly3c,1.967,-0.208
polygon,linear,2.861,0.431
polygon,gamma,2.901,0.936
polygon,poly3c,3.103,0.557
square,linear,1.227,0.335
square,gamma,1.192,0.204
square,poly3c,1.222,0.181
star,linear,1.942,-0.456
star,gamma,1.939,0.459
star,poly3c,1.857,-0.027
sun,linear,2.686,-0.166
sun,gamma,2.311,-0.678
sun,poly3c,1.709,-0.089
tree_growth,linear,3.105,-2.029
tree_growth,gamma,2.972,-0.539
tree_growth,poly3c,2.739,0.079
